time_s,OD_AU_per_cm
3.856382978723407177e+03,1.005591404023853386e-02
3.949468085106385843e+03,1.237609549170670675e-02
4.095744680851066732e+03,2.629718420051574412e-02
4.122340425531917390e+03,3.093754710345253400e-02
4.175531914893619614e+03,4.253845436079339848e-02
4.242021276595747622e+03,5.645954306960243585e-02
4.255319148936172496e+03,6.109990597253878164e-02
4.268617021276598280e+03,6.574026887547512743e-02
4.295212765957448937e+03,8.430172048722051059e-02
4.308510638297874721e+03,8.430172048722051059e-02
4.321808510638300504e+03,9.822280919602999205e-02
4.335106382978726288e+03,9.822280919602999205e-02
4.375000000000002728e+03,1.353457124195207584e-01
4.388297872340428512e+03,1.353457124195207584e-01
4.401595744680853386e+03,1.585475269342029314e-01
4.414893617021279169e+03,1.655080712886074501e-01
4.428191489361704953e+03,1.794291599974164875e-01
4.441489361702129827e+03,1.863897043518210062e-01
4.534574468085108492e+03,3.627234946634034785e-01
4.547872340425534276e+03,3.627234946634034785e-01
4.574468085106385843e+03,4.555307527221312824e-01
4.587765957446810717e+03,4.717720228824084927e-01
4.601063829787236500e+03,4.880132930426857030e-01
4.614361702127662284e+03,5.483380107808586423e-01
4.627659574468088067e+03,5.622590994896681238e-01
4.640957446808512941e+03,5.901012769072861985e-01
4.667553191489364508e+03,6.550663575483957057e-01
4.680851063829789382e+03,6.550663575483957057e-01
4.694148936170215165e+03,7.061103494806957315e-01
4.707446808510640949e+03,7.200314381895049909e-01
4.760638297872343173e+03,8.453212365687872154e-01
4.773936170212768047e+03,8.453212365687872154e-01
4.787234042553193831e+03,9.056459543069601548e-01
4.800531914893619614e+03,9.218872244672375871e-01
4.813829787234045398e+03,9.543697647877922297e-01
4.827127659574470272e+03,9.706110349480694399e-01
4.840425531914896055e+03,1.003093575268624305e+00
4.853723404255321839e+03,1.072699018812669935e+00
4.867021276595747622e+03,1.091260470424415541e+00
4.920212765957448937e+03,1.258313534930125099e+00
4.960106382978726288e+03,1.374322607503534632e+00
4.973404255319151162e+03,1.374322607503534632e+00
5.000000000000002728e+03,1.474090409916666955e+00
5.039893617021279169e+03,1.594739845393012834e+00
5.053191489361704953e+03,1.615621478456226612e+00
5.066489361702129827e+03,1.694507647806144934e+00
5.079787234042555610e+03,1.694507647806144934e+00
5.093085106382981394e+03,1.773393817156063479e+00
5.106382978723407177e+03,1.810516720379554467e+00
5.119680851063832051e+03,1.847639623603045678e+00
5.146276595744683618e+03,1.917245067147091309e+00
5.159574468085108492e+03,1.917245067147091309e+00
