time_s,OD_AU_per_cm
4.547872340425534276e+03,1.005591404023853386e-02
4.640957446808512941e+03,1.005591404023853386e-02
4.747340425531917390e+03,1.469627694317487965e-02
4.827127659574470272e+03,2.397700274904757123e-02
4.840425531914896055e+03,1.933663984611122544e-02
4.906914893617024063e+03,2.861736565198391702e-02
4.986702127659576945e+03,2.861736565198391702e-02
5.053191489361704953e+03,3.557791000638887979e-02
5.119680851063832051e+03,4.253845436079339848e-02
5.132978723404257835e+03,3.789809145785705269e-02
5.212765957446810717e+03,4.485863581226157137e-02
5.319148936170215165e+03,5.181918016666609006e-02
5.332446808510640949e+03,4.949899871519791716e-02
5.345744680851066732e+03,4.717881726372974427e-02
5.851063829787236500e+03,5.181918016666609006e-02
6.156914893617024063e+03,4.717881726372974427e-02
6.170212765957448937e+03,4.717881726372974427e-02
6.183510638297874721e+03,4.717881726372974427e-02
6.196808510638300504e+03,4.717881726372974427e-02
6.210106382978726288e+03,5.181918016666609006e-02
6.223404255319151162e+03,5.181918016666609006e-02
6.236702127659576945e+03,5.181918016666609006e-02
6.582446808510640039e+03,4.253845436079339848e-02
6.595744680851066732e+03,4.253845436079339848e-02
6.609042553191491606e+03,4.485863581226157137e-02
6.622340425531916480e+03,4.717881726372974427e-02
6.635638297872343173e+03,4.717881726372974427e-02
6.875000000000001819e+03,3.789809145785705269e-02
6.888297872340428512e+03,4.021827290932522558e-02
6.901595744680853386e+03,4.253845436079339848e-02
7.087765957446810717e+03,3.325772855492070690e-02
7.101063829787235591e+03,3.557791000638887979e-02
7.114361702127662284e+03,3.789809145785705269e-02
7.260638297872343173e+03,2.861736565198391702e-02
7.273936170212768047e+03,3.093754710345253400e-02
7.406914893617024063e+03,2.397700274904757123e-02
7.420212765957448937e+03,2.861736565198391702e-02
7.526595744680853386e+03,1.933663984611122544e-02
7.539893617021278260e+03,2.397700274904757123e-02
7.632978723404257835e+03,1.469627694317487965e-02
7.646276595744682709e+03,1.933663984611122544e-02
7.739361702127662284e+03,1.469627694317487965e-02
