time_s,OD_AU_per_cm
3.696808510638300504e+03,1.005591404023853386e-02
3.736702127659576945e+03,1.005591404023853386e-02
3.789893617021279169e+03,1.469627694317487965e-02
3.843085106382981394e+03,2.165682129757939833e-02
4.122340425531917390e+03,1.075035350019026836e-01
4.135638297872343173e+03,1.075035350019026836e-01
4.242021276595747622e+03,2.188722446723758708e-01
4.255319148936172496e+03,2.188722446723758708e-01
4.268617021276598280e+03,2.606355107988029829e-01
4.281914893617024063e+03,2.606355107988029829e-01
4.308510638297874721e+03,3.348813172457854037e-01
4.321808510638300504e+03,3.488024059545944411e-01
4.335106382978726288e+03,3.789647648236811328e-01
4.348404255319151162e+03,3.952060349839583431e-01
4.361702127659576945e+03,4.323289382074491094e-01
4.375000000000002728e+03,4.972940188485588386e-01
4.401595744680853386e+03,5.622590994896681238e-01
4.414893617021279169e+03,6.086627285190318037e-01
4.441489361702129827e+03,7.478736156071232877e-01
4.454787234042555610e+03,7.896368817335506218e-01
4.468085106382981394e+03,9.033257728554919819e-01
4.481382978723407177e+03,9.427688575304513652e-01
4.494680851063832051e+03,1.068058655909733590e+00
4.507978723404257835e+03,1.167826458322865690e+00
4.521276595744683618e+03,1.276874986541870705e+00
4.534574468085108492e+03,1.395204240566748410e+00
4.547872340425534276e+03,1.511213313140157943e+00
4.561170212765960059e+03,1.624902204262099303e+00
4.574468085106385843e+03,1.726990188126699799e+00
4.587765957446810717e+03,1.822117627636895554e+00
4.601063829787236500e+03,1.866201075214791061e+00
4.614361702127662284e+03,1.935806518758836914e+00
4.627659574468088067e+03,1.986850510691136940e+00
4.747340425531917390e+03,1.863880893763322888e+00
4.760638297872343173e+03,1.831398353442768245e+00
4.773936170212768047e+03,1.815157083282490813e+00
4.787234042553193831e+03,1.745551639738445182e+00
4.800531914893619614e+03,1.745551639738445182e+00
4.840425531914896055e+03,1.638823292970908341e+00
4.853723404255321839e+03,1.559937123620990018e+00
4.867021276595747622e+03,1.522814220397499030e+00
4.880319148936172496e+03,1.501932587334285252e+00
4.920212765957448937e+03,1.381283151857939373e+00
4.933510638297874721e+03,1.360401518794725595e+00
4.960106382978726288e+03,1.276874986541870705e+00
4.986702127659576945e+03,1.146944825259652134e+00
5.000000000000002728e+03,1.105181559133224578e+00
5.013297872340427602e+03,1.105181559133224578e+00
5.026595744680853386e+03,1.063418293006797244e+00
5.093085106382981394e+03,8.128386962482325728e-01
5.106382978723407177e+03,7.965974260879551405e-01
5.119680851063832051e+03,7.339525268983140283e-01
5.132978723404257835e+03,7.153910752865686451e-01
5.146276595744683618e+03,6.782681720630774347e-01
5.159574468085108492e+03,6.597067204513320515e-01
5.172872340425534276e+03,5.901012769072861985e-01
5.186170212765960059e+03,5.901012769072861985e-01
5.199468085106385843e+03,5.413774664264541236e-01
5.212765957446810717e+03,5.251361962661769134e-01
5.226063829787236500e+03,4.648114785280039740e-01
5.239361702127662284e+03,4.508903898191949366e-01
5.252659574468088067e+03,4.369693011103858993e-01
5.265957446808512941e+03,3.859253091780856515e-01
5.279255319148938725e+03,3.859253091780856515e-01
5.292553191489364508e+03,3.395216801487217495e-01
5.305851063829789382e+03,3.395216801487217495e-01
5.319148936170215165e+03,2.977584140222941933e-01
5.332446808510640949e+03,2.884776882164215017e-01
5.345744680851066732e+03,2.791969624105488101e-01
5.412234042553193831e+03,1.910300672547573519e-01
5.425531914893619614e+03,1.910300672547573519e-01
5.452127659574470272e+03,1.585475269342029314e-01
5.465425531914896055e+03,1.539071640312665856e-01
5.505319148936172496e+03,1.260649866136480668e-01
5.545212765957448937e+03,1.075035350019026836e-01
5.571808510638300504e+03,1.028631720989663378e-01
5.585106382978726288e+03,9.822280919602999205e-02
5.598404255319151162e+03,9.358244629309364626e-02
5.611702127659576945e+03,8.894208339015730047e-02
5.664893617021279169e+03,7.270081322987964612e-02
5.771276595744683618e+03,5.645954306960243585e-02
5.851063829787236500e+03,4.717881726372974427e-02
6.090425531914896055e+03,2.629718420051574412e-02
6.183510638297874721e+03,2.165682129757939833e-02
6.289893617021279169e+03,1.701645839464305254e-02
6.582446808510640039e+03,1.005591404023853386e-02
