time_s,OD_AU_per_cm
3.563829787234045398e+03,1.005591404023853386e-02
3.577127659574470272e+03,1.005591404023853386e-02
3.590425531914896055e+03,1.005591404023853386e-02
3.603723404255321839e+03,1.005591404023853386e-02
3.617021276595747622e+03,1.005591404023853386e-02
3.630319148936172496e+03,1.005591404023853386e-02
3.643617021276598280e+03,1.005591404023853386e-02
3.656914893617024063e+03,1.469627694317487965e-02
3.670212765957449847e+03,1.469627694317487965e-02
3.683510638297874721e+03,1.469627694317487965e-02
3.696808510638300504e+03,1.469627694317487965e-02
3.710106382978726288e+03,1.933663984611122544e-02
3.723404255319151162e+03,1.933663984611122544e-02
3.736702127659576945e+03,1.933663984611122544e-02
3.750000000000002728e+03,2.397700274904757123e-02
3.763297872340428512e+03,2.397700274904757123e-02
3.776595744680853386e+03,2.397700274904757123e-02
3.789893617021279169e+03,2.861736565198391702e-02
3.803191489361704953e+03,2.861736565198391702e-02
3.816489361702129827e+03,3.325772855492070690e-02
3.829787234042555610e+03,3.789809145785705269e-02
3.843085106382981394e+03,3.789809145785705269e-02
3.856382978723407177e+03,4.253845436079339848e-02
3.869680851063832051e+03,4.253845436079339848e-02
3.882978723404257835e+03,4.717881726372974427e-02
3.896276595744683618e+03,5.181918016666609006e-02
3.909574468085109402e+03,5.645954306960243585e-02
3.922872340425534276e+03,6.109990597253878164e-02
3.936170212765960059e+03,6.574026887547512743e-02
3.949468085106385843e+03,7.270081322987964612e-02
3.962765957446810717e+03,7.734117613281599191e-02
3.976063829787236500e+03,8.430172048722051059e-02
3.989361702127662284e+03,9.126226484162547337e-02
4.002659574468088067e+03,9.822280919602999205e-02
4.015957446808512941e+03,1.098237164533708565e-01
4.029255319148938725e+03,1.191044422592435481e-01
4.042553191489364508e+03,1.283851680651162397e-01
4.082446808510640949e+03,1.631878898371392772e-01
4.095744680851066732e+03,1.771089785459483146e-01
4.109042553191491606e+03,1.933502487062255248e-01
4.122340425531917390e+03,2.119117003179713521e-01
4.135638297872343173e+03,2.304731519297167353e-01
4.148936170212768957e+03,2.536749664443984642e-01
4.162234042553193831e+03,2.745565995076124644e-01
4.175531914893619614e+03,2.977584140222941933e-01
4.188829787234045398e+03,3.209602285369763663e-01
4.202127659574470272e+03,3.511225874060626140e-01
4.215425531914896055e+03,3.836051277266174786e-01
4.228723404255321839e+03,4.184078494986400720e-01
4.242021276595747622e+03,4.532105712706631095e-01
4.255319148936172496e+03,4.903334744941538759e-01
4.268617021276598280e+03,5.274563777176450863e-01
4.281914893617024063e+03,5.668994623926044696e-01
4.295212765957448937e+03,6.109829099704999766e-01
4.308510638297874721e+03,6.527461760969273108e-01
4.321808510638300504e+03,6.898690793204185212e-01
4.335106382978726288e+03,7.223516196409731638e-01
4.348404255319151162e+03,7.478736156071232877e-01
4.361702127659576945e+03,7.687552486703368437e-01
4.375000000000002728e+03,7.849965188306142760e-01
4.388297872340428512e+03,7.919570631850187947e-01
4.401595744680853386e+03,7.849965188306142760e-01
4.414893617021279169e+03,7.641148857674004979e-01
4.428191489361704953e+03,7.269919825439095096e-01
4.441489361702129827e+03,6.805883535145456076e-01
4.454787234042555610e+03,6.249039986793092361e-01
4.468085106382981394e+03,5.645792809411362967e-01
4.481382978723407177e+03,4.949738373970906657e-01
4.494680851063832051e+03,4.137674865957037262e-01
4.507978723404257835e+03,3.325611357943172308e-01
4.521276595744683618e+03,2.513547849929302913e-01
4.534574468085108492e+03,1.817493414488846604e-01
4.547872340425534276e+03,1.283851680651162397e-01
4.561170212765960059e+03,8.430172048722051059e-02
4.574468085106385843e+03,4.949899871519791716e-02
4.587765957446810717e+03,2.165682129757939833e-02
4.601063829787236500e+03,1.237609549170670675e-02
