time_s,OD_AU_per_cm
2.101063829787236500e+03,1.005591404023853386e-02
2.114361702127662284e+03,1.005591404023853386e-02
2.127659574468087158e+03,1.005591404023853386e-02
2.140957446808512941e+03,1.005591404023853386e-02
2.154255319148938725e+03,1.237609549170670675e-02
2.167553191489364508e+03,1.469627694317487965e-02
2.180851063829789382e+03,1.469627694317487965e-02
2.194148936170215165e+03,1.469627694317487965e-02
2.207446808510640949e+03,1.933663984611122544e-02
2.220744680851065823e+03,1.933663984611122544e-02
2.234042553191491606e+03,1.933663984611122544e-02
2.247340425531917390e+03,2.165682129757939833e-02
2.260638297872343173e+03,2.397700274904757123e-02
2.273936170212768047e+03,2.397700274904757123e-02
2.287234042553193831e+03,2.397700274904757123e-02
2.300531914893619614e+03,2.861736565198391702e-02
2.313829787234045398e+03,2.861736565198391702e-02
2.327127659574470272e+03,2.861736565198391702e-02
2.340425531914896055e+03,3.325772855492070690e-02
2.353723404255321839e+03,3.325772855492070690e-02
2.367021276595746713e+03,3.325772855492070690e-02
2.380319148936172496e+03,3.789809145785705269e-02
2.393617021276598280e+03,3.789809145785705269e-02
2.406914893617024063e+03,4.021827290932522558e-02
2.420212765957448937e+03,4.253845436079339848e-02
2.433510638297874721e+03,4.253845436079339848e-02
2.446808510638300504e+03,4.717881726372974427e-02
2.460106382978726288e+03,4.717881726372974427e-02
2.473404255319151162e+03,4.949899871519791716e-02
2.486702127659576945e+03,5.181918016666609006e-02
2.500000000000002728e+03,5.181918016666609006e-02
2.513297872340428512e+03,5.645954306960243585e-02
2.526595744680853386e+03,5.645954306960243585e-02
2.539893617021279169e+03,5.877972452107060874e-02
2.553191489361704953e+03,6.109990597253878164e-02
2.566489361702130736e+03,6.342008742400695454e-02
2.579787234042555610e+03,6.574026887547512743e-02
2.593085106382981394e+03,6.574026887547512743e-02
2.606382978723407177e+03,7.038063177841147322e-02
2.619680851063832051e+03,7.038063177841147322e-02
2.632978723404257835e+03,7.502099468134781901e-02
2.646276595744683618e+03,7.502099468134781901e-02
2.659574468085109402e+03,7.966135758428416480e-02
