time_s,OD_AU_per_cm
9.175531914893642806e+02,7.751882343658422769e-04
8.018617021276597370e+03,5.181918016666609006e-02
8.164893617021278260e+03,2.095915188665031792e-01
8.231382978723406268e+03,3.534427688575307869e-01
8.244680851063832961e+03,3.859253091780856515e-01
8.311170212765959150e+03,5.297765591691132592e-01
8.337765957446810717e+03,5.831407325528816799e-01
8.390957446808513851e+03,6.597067204513320515e-01
8.417553191489363599e+03,6.736278091601410889e-01
8.497340425531916480e+03,6.504259946454591379e-01
8.550531914893619614e+03,6.040223656160952359e-01
8.577127659574471181e+03,5.529783736837954322e-01
8.617021276595747622e+03,4.926536559456220488e-01
8.670212765957448937e+03,4.276885753045127636e-01
8.789893617021278260e+03,2.235126075753122166e-01
8.803191489361704953e+03,1.956704301576936977e-01
8.816489361702129827e+03,1.771089785459483146e-01
8.843085106382981394e+03,1.585475269342029314e-01
8.882978723404257835e+03,1.121438979048390294e-01
8.896276595744682709e+03,9.822280919602999205e-02
8.909574468085109402e+03,7.502099468134781901e-02
