time_s,salt_mol_per_L
2.501110429875552654e-12,2.488806666633915921e-01
1.329787234042805721e+01,3.870818003644704852e-02
2.659574468085361332e+01,3.870818003644704852e-02
3.989361702127916942e+01,3.870818003644704852e-02
5.319148936170472552e+01,3.870818003644704852e-02
6.648936170213028163e+01,3.870818003644704852e-02
1.728723404255345031e+02,3.870818003644704852e-02
1.861702127659600592e+02,3.870818003644704852e-02
1.994680851063856153e+02,3.170187787661910006e-01
2.127659574468109440e+02,3.870818003644704852e-02
2.260638297872365001e+02,4.072298004234182756e-01
2.393617021276620562e+02,5.895712271773884128e-01
2.526595744680876123e+02,5.914906106169038891e-01
2.792553191489387245e+02,5.953293774959348417e-01
3.058510638297898367e+02,5.953293774959348417e-01
3.324468085106407216e+02,3.150993953266755243e-01
3.457446808510662777e+02,3.870818003644704852e-02
3.590425531914918338e+02,3.160590870464332625e-01
3.723404255319173899e+02,3.870818003644704852e-02
3.856382978723429460e+02,3.160590870464332625e-01
4.122340425531940582e+02,5.914906106169038891e-01
4.388297872340451704e+02,5.934099940564193654e-01
4.521276595744704991e+02,4.830509723402443001e-02
4.654255319148962826e+02,3.765196653911707658e-01
4.787234042553216113e+02,5.406324755257085890e-02
5.053191489361727236e+02,7.069790402837172749e-02
5.186170212765980523e+02,3.333335380020725491e-01
5.319148936170238358e+02,7.325708194772562187e-02
5.452127659574491645e+02,2.492005639033109121e-01
6.250000000000025011e+02,8.285399914530300336e-02
6.382978723404278298e+02,8.285399914530300336e-02
6.648936170212789420e+02,8.093461570578752706e-02
6.781914893617047255e+02,8.093461570578752706e-02
6.914893617021300543e+02,5.340690560513992047e-01
7.180851063829811665e+02,5.732564679415068642e-01
7.712765957446833909e+02,8.093461570578752706e-02
7.978723404255345031e+02,7.805554054651442364e-02
8.111702127659598318e+02,7.517646538724109817e-02
8.377659574468109440e+02,6.078108959087513696e-02
8.510638297872367275e+02,5.886170615135966067e-02
8.643617021276620562e+02,5.662242547192497533e-02
8.776595744680878397e+02,5.310355583281323177e-02
9.574468085106407216e+02,4.254694691547800112e-02
9.707446808510665051e+02,4.254694691547800112e-02
9.840425531914918338e+02,4.254694691547800112e-02
1.117021276595747395e+03,3.870818003644704852e-02
1.130319148936172724e+03,3.870818003644704852e-02
1.223404255319151389e+03,4.638571379450895371e-02
1.236702127659577172e+03,4.638571379450895371e-02
1.250000000000002501e+03,4.830509723402443001e-02
1.263297872340427830e+03,5.022448067353990631e-02
1.276595744680853613e+03,5.022448067353990631e-02
1.329787234042555838e+03,6.749893162917919298e-02
1.343085106382981166e+03,6.653923990942156586e-02
1.356382978723406950e+03,6.749893162917919298e-02
1.369680851063832279e+03,7.037800678845251845e-02
1.409574468085108720e+03,8.381369086506085253e-02
1.422872340425534503e+03,8.477338258481847966e-02
1.436170212765959832e+03,8.765245774409180513e-02
1.449468085106385615e+03,8.861214946384943225e-02
1.489361702127662056e+03,1.020478335404577663e-01
1.502659574468087385e+03,1.058866004194887189e-01
1.515957446808513168e+03,1.049269086997310918e-01
1.529255319148938497e+03,1.058866004194887189e-01
1.542553191489364281e+03,1.087656755787620444e-01
1.582446808510640722e+03,1.222013596553702675e-01
