xi,H_um
-0.01134,10.4815
-0.01076,10.4815
-0.01019,10.4388
-0.00961,10.4388
-0.00903,10.4174
-0.00845,10.4174
-0.00788,10.3960
-0.00730,10.3960
-0.00672,10.3747
-0.00614,10.3747
-0.00557,10.8020
-0.00499,10.8020
-0.00441,10.8020
-0.00384,10.8020
0.00021,10.6097
0.00078,10.6097
0.00136,10.6097
0.00194,10.6097
0.00252,10.6097
0.00309,10.6097
0.00367,10.6097
0.00425,10.6097
0.00829,10.3533
0.00887,10.3533
0.00945,10.7807
0.01002,10.7807
0.01060,10.3747
0.01118,10.3747
0.01176,10.3960
0.01233,10.3960
0.01291,10.4174
0.01349,10.4174
0.01407,10.4601
0.01464,10.4601
0.01522,10.5670
0.01580,10.5670
0.01638,10.5670
0.01695,10.5670
0.01753,10.5670
0.01811,10.5670
0.01869,10.5456
0.01926,10.5456
0.01984,10.5456
0.02042,10.5456
0.02100,10.5456
0.02157,10.5456
0.02215,10.5456
0.02273,10.5456
0.02331,10.5456
0.02388,10.5456
0.02446,10.5456
0.02504,10.5456
0.02562,10.5456
0.02619,10.5456
0.02677,10.5456
0.02735,10.5456
0.02793,10.5243
0.02850,10.5243
0.02908,10.5243
0.02966,10.5243
0.03024,10.5243
0.03081,10.5243
0.03139,10.5243
0.03197,10.5243
0.03255,10.5243
0.03312,10.5243
0.03370,10.5243
0.03428,10.5243
0.03485,10.5243
0.03543,10.5243
0.03601,10.5243
0.03659,10.5243
0.03716,10.5029
0.03774,10.5029
0.03832,10.5029
0.03890,10.5029
0.03947,10.5029
0.04005,10.5029
0.04063,10.5029
0.04121,10.5029
0.04178,10.4815
0.04236,10.4815
0.04294,10.4815
0.04352,10.4815
0.04409,10.4815
0.04467,10.4815
0.04525,10.4815
0.04583,10.4815
0.04640,10.4815
0.04698,10.4815
0.04756,10.4815
0.04814,10.4815
0.04871,10.4815
0.04929,10.4815
0.04987,10.4815
0.05045,10.4815
0.05102,10.4601
0.05160,10.4601
0.05218,10.4601
0.05276,10.4601
0.05333,10.4601
0.05391,10.4601
0.05449,10.4601
0.05507,10.4601
0.05564,10.4601
0.05622,10.4601
0.05680,10.4601
0.05738,10.4601
0.05795,10.4601
0.05853,10.4601
0.05911,10.4388
0.05969,10.4388
0.06026,10.4388
0.06084,10.4388
0.06142,10.4388
0.06200,10.4388
0.06257,10.4388
0.06315,10.4388
0.06373,10.4388
0.06431,10.4388
0.06488,10.4174
0.06546,10.4174
0.06604,10.4174
0.06662,10.4174
0.06719,10.4174
0.06777,10.4174
0.06835,10.4174
0.06893,10.4174
0.06950,10.4174
0.07008,10.4174
0.07066,10.4174
0.07123,10.4174
0.07181,10.4174
0.07239,10.4174
0.07297,10.4174
0.07354,10.4174
0.07412,10.3960
0.07470,10.3960
0.07528,10.3960
0.07585,10.3960
0.07643,10.3960
0.07701,10.3960
0.07759,10.3960
0.07816,10.3960
0.07874,10.3960
0.07932,10.3960
0.07990,10.3960
0.08047,10.3960
0.08105,10.3960
0.08163,10.3960
0.08221,10.3747
0.08278,10.3747
0.08336,10.3747
0.08394,10.3747
0.08452,10.3747
0.08509,10.3747
0.08567,10.3747
0.08625,10.3747
0.08683,10.3747
0.08740,10.3747
0.08798,10.3533
0.08856,10.3533
0.08914,10.3533
0.08971,10.3533
0.09029,10.3533
0.09087,10.3533
0.09145,10.3533
0.09202,10.3533
0.09260,10.3533
0.09318,10.3533
0.09376,10.3533
0.09433,10.3533
0.09491,10.3533
0.09549,10.3533
0.09607,10.3533
0.09664,10.3533
0.09722,10.3319
0.09780,10.3319
0.09838,10.3319
0.09895,10.3319
0.09953,10.3319
0.10011,10.3319
0.10069,10.3319
0.10126,10.3319
0.10184,10.3319
0.10242,10.3319
0.10300,10.3319
0.10357,10.3319
0.10415,10.3319
0.10473,10.3319
0.10531,10.3319
0.10588,10.3319
0.10646,10.3319
0.10704,10.3319
0.10761,10.3106
0.10819,10.3106
0.10877,10.3106
0.10935,10.3106
0.10992,10.2892
0.11050,10.2892
0.11108,10.2892
0.11166,10.2892
0.11223,10.2892
0.11281,10.2892
0.11339,10.2892
0.11397,10.2892
0.11454,10.2892
0.11512,10.2892
0.11570,10.2892
0.11628,10.2892
0.11685,10.2892
0.11743,10.2892
0.11801,10.2892
0.11859,10.2892
0.11916,10.2678
0.11974,10.2678
0.12032,10.2678
0.12090,10.2678
0.12147,10.2678
0.12205,10.2678
0.12263,10.2678
0.12321,10.2678
0.12378,10.2678
0.12436,10.2678
0.12494,10.2678
0.12552,10.2678
0.12609,10.2678
0.12667,10.2678
0.12725,10.2465
0.12783,10.2465
0.12840,10.2465
0.12898,10.2465
0.12956,10.2465
0.13014,10.2465
0.13071,10.2465
0.13129,10.2465
0.13187,10.2465
0.13245,10.2465
0.13302,10.2251
0.13360,10.2251
0.13418,10.2251
0.13476,10.2251
0.13533,10.2251
0.13591,10.2251
0.13649,10.2251
0.13707,10.2251
0.13764,10.2251
0.13822,10.2251
0.13880,10.2251
0.13938,10.2251
0.13995,10.2251
0.14053,10.2251
0.14111,10.2251
0.14169,10.2251
0.14226,10.2037
0.14284,10.2037
0.14342,10.2037
0.14400,10.2037
0.14457,10.2037
0.14515,10.2037
0.14573,10.2037
0.14630,10.2037
0.14688,10.2037
0.14746,10.2037
0.14804,10.2037
0.14861,10.2037
0.14919,10.2037
0.14977,10.2037
0.15035,10.2037
0.15092,10.2037
0.15150,10.1824
0.15208,10.1824
0.15266,10.1824
0.15323,10.1824
0.15381,10.1610
0.15439,10.1610
0.15497,10.1610
0.15554,10.1610
0.15612,10.1610
0.15670,10.1610
0.15728,10.1610
0.15785,10.1610
0.15843,10.1610
0.15901,10.1610
0.15959,10.1610
0.16016,10.1610
0.16074,10.1610
0.16132,10.1610
0.16190,10.1610
0.16247,10.1610
0.16305,10.1396
0.16363,10.1396
0.16421,10.1396
0.16478,10.1396
0.16536,10.1396
0.16594,10.1396
0.16652,10.1396
0.16709,10.1396
0.16767,10.1396
0.16825,10.1396
0.16883,10.1396
0.16940,10.1396
0.16998,10.1396
0.17056,10.1396
0.17114,10.1396
0.17171,10.1396
0.17229,10.1183
0.17287,10.1183
0.17345,10.1183
0.17402,10.1183
0.17460,10.1183
0.17518,10.1183
0.17576,10.1183
0.17633,10.1183
0.17691,10.1183
0.17749,10.1183
0.17807,10.0969
0.17864,10.0969
0.17922,10.0969
0.17980,10.0969
0.18038,10.0969
0.18095,10.0969
0.18153,10.0969
0.18211,10.0969
0.18268,10.0969
0.18326,10.0969
0.18384,10.0969
0.18442,10.0969
0.18499,10.0969
0.18557,10.0969
0.18615,10.0969
0.18673,10.0969
0.18730,10.0755
0.18788,10.0755
0.18846,10.0755
0.18904,10.0755
0.18961,10.0755
0.19019,10.0755
0.19077,10.0755
0.19135,10.0755
0.19192,10.0755
0.19250,10.0755
0.19308,10.0755
0.19366,10.0755
0.19423,10.0755
0.19481,10.0755
0.19539,10.0542
0.19597,10.0542
0.19654,10.0542
0.19712,10.0542
0.19770,10.0542
0.19828,10.0542
0.19885,10.0542
0.19943,10.0542
0.20001,10.0328
0.20059,10.0328
0.20116,10.0328
0.20174,10.0328
0.20232,10.0328
0.20290,10.0328
0.20347,10.0328
0.20405,10.0328
0.20463,10.0328
0.20521,10.0328
0.20578,10.0328
0.20636,10.0328
0.20694,10.0328
0.20752,10.0328
0.20809,10.0114
0.20867,10.0114
0.20925,10.0114
0.20983,10.0114
0.21040,10.0114
0.21098,10.0114
0.21156,10.0114
0.21214,10.0114
0.21271,10.0114
0.21329,10.0114
