time_protein,protein,time_soluble_ligand,soluble_ligand,time_complex,complex
5.3588,0.00329,16.2623,0.00394,0.0929,-0.00066
5.4208,0.00329,16.3242,0.02300,0.1549,0.00000
5.4827,0.00329,16.3242,0.01249,0.2168,0.00066
5.5447,0.00329,16.3862,0.07178,0.2788,0.00066
5.6066,0.00329,16.3862,0.05389,0.3407,0.00066
5.6686,0.00329,16.3862,0.03549,0.4027,0.00066
5.7305,0.00394,16.4481,0.17744,0.4646,0.00066
5.7925,0.00394,16.4481,0.16429,0.5266,0.00066
5.8544,0.00394,16.4481,0.14589,0.5885,0.00066
5.9164,0.00394,16.4481,0.12749,0.6505,0.00066
5.9783,0.00460,16.4481,0.10909,0.7124,0.00000
6.0403,0.00460,16.4481,0.09069,0.7744,0.00000
6.1022,0.00526,16.4481,0.07229,0.8363,0.00000
6.1642,0.00526,16.4481,0.05717,0.8983,0.00000
6.2261,0.00657,16.5101,0.29376,0.9602,0.00000
6.2881,0.00657,16.5101,0.27536,1.0222,0.00066
6.3500,0.00789,16.5101,0.25696,1.0842,0.00066
6.4120,0.00920,16.5101,0.23855,1.1461,0.00066
6.4739,0.00986,16.5101,0.22015,1.2081,0.00066
6.5359,0.01117,16.5101,0.20110,1.2700,0.00066
6.5978,0.01249,16.5101,0.18269,1.3320,0.00066
6.6598,0.01380,16.5101,0.16495,1.3939,0.00066
6.7217,0.01512,16.5101,0.14918,1.4559,0.00066
6.7837,0.01709,16.5101,0.14261,1.5178,0.00066
6.8456,0.01840,16.5101,0.12749,1.5798,0.00000
6.9076,0.02103,16.5101,0.11106,1.6417,0.00000
6.9695,0.02300,16.5720,0.44754,1.7037,0.00000
7.0315,0.02629,16.5720,0.43768,1.7656,0.00000
7.0934,0.02892,16.5720,0.42322,1.8276,0.00000
7.1554,0.03220,16.5720,0.40482,1.8895,0.00066
7.2173,0.03549,16.5720,0.38642,1.9515,0.00066
7.2793,0.04009,16.5720,0.36802,2.0134,0.00066
7.3412,0.04469,16.5720,0.34962,2.0754,0.00066
7.4032,0.04929,16.5720,0.33056,2.1373,0.00066
7.4652,0.05455,16.5720,0.31216,2.1993,0.00066
7.5271,0.06046,16.5720,0.29441,2.2612,0.00066
7.5891,0.06703,16.5720,0.27930,2.3232,0.00066
7.6510,0.07426,16.6340,0.63812,2.3851,0.00066
7.7130,0.08215,16.6340,0.61972,2.4471,0.00000
7.7749,0.09069,16.6340,0.60723,2.5090,0.00000
7.8369,0.09989,16.6340,0.58883,2.5710,0.00000
7.8988,0.11041,16.6340,0.57043,2.6329,0.00000
7.9608,0.12158,16.6340,0.55203,2.6949,0.00000
8.0227,0.13406,16.6340,0.53363,2.7568,0.00066
8.0847,0.14721,16.6340,0.51522,2.8188,0.00066
8.1466,0.16166,16.6340,0.49682,2.8807,0.00066
8.2086,0.17744,16.6340,0.47842,2.9427,0.00066
8.2705,0.19387,16.6340,0.46002,3.0046,0.00066
8.3325,0.21161,16.6340,0.44096,3.0666,0.00066
8.3944,0.23067,16.6340,0.42322,3.1285,0.00066
8.4564,0.25104,16.6340,0.40482,3.1905,0.00066
8.5183,0.27338,16.6340,0.38642,3.2525,0.00066
8.5803,0.29639,16.6340,0.36736,3.3144,0.00000
8.6422,0.32070,16.6959,0.77284,3.3764,0.00000
8.7042,0.34502,16.6959,0.75509,3.4383,0.00000
8.7661,0.37130,16.6959,0.73669,3.5003,0.00000
8.8281,0.39825,16.6959,0.71829,3.5622,0.00000
8.8900,0.42585,16.6959,0.69989,3.6242,0.00000
8.9520,0.45279,16.6959,0.68149,3.6861,0.00066
9.0139,0.48171,16.6959,0.66243,3.7481,0.00066
9.0759,0.51062,16.6959,0.64403,3.8100,0.00066
9.1378,0.53823,16.6959,0.62563,3.8720,0.00066
9.1998,0.56648,16.6959,0.60723,3.9339,0.00066
9.2617,0.59474,16.6959,0.58883,3.9959,0.00066
9.3237,0.62234,16.6959,0.57043,4.0578,0.00066
9.3856,0.65060,16.6959,0.55268,4.1198,0.00066
9.4476,0.67623,16.6959,0.53363,4.1817,0.00000
9.5096,0.70120,16.6959,0.51522,4.2437,0.00000
9.5715,0.72618,16.6959,0.49748,4.3056,0.00000
9.6335,0.74852,16.7579,0.79058,4.3676,0.00000
9.6954,0.77021,16.7579,0.77415,4.4295,0.00000
9.7574,0.79058,16.7579,0.75575,4.4915,0.00000
9.8193,0.80898,16.7579,0.73735,4.5534,0.00066
9.8813,0.82673,16.7579,0.71895,4.6154,0.00000
9.9432,0.84381,16.7579,0.69989,4.6773,0.00000
10.0052,0.85893,16.7579,0.68149,4.7393,0.00000
10.0671,0.87141,16.7579,0.66309,4.8012,0.00000
10.1291,0.88456,16.7579,0.64469,4.8632,0.00000
10.1910,0.89639,16.7579,0.62629,4.9251,0.00000
10.2530,0.90690,16.7579,0.60789,4.9871,0.00000
10.3149,0.91676,16.8198,0.80701,5.0490,0.00000
10.3769,0.92464,16.8198,0.79255,5.1110,0.00000
10.4388,0.93253,16.8198,0.77415,5.1729,0.00000
10.5008,0.93976,16.8198,0.75575,5.2349,0.00000
10.5627,0.94633,16.8198,0.73669,5.2969,0.00000
10.6247,0.95159,16.8198,0.71829,5.3588,0.00000
10.6866,0.95750,16.8198,0.70055,5.4208,0.00000
10.7486,0.96210,16.8198,0.68412,5.4827,0.00000
