time_s,cylinder_AU,cone_s2_AU,cone_s0p5_AU
272.000,0.000000,0.000000,0.000000
272.200,0.000000,0.000000,0.000000
272.400,0.000000,0.000000,0.000000
272.600,0.000000,0.000000,0.000000
272.800,0.000000,0.000000,0.000000
273.000,0.000000,0.000000,0.000000
273.200,0.000000,0.000000,0.000000
273.400,0.000000,0.000000,0.000000
273.600,0.000000,0.000000,0.000000
273.800,0.000000,0.000000,0.000000
274.000,0.000000,0.000000,0.000000
274.200,0.000000,0.000000,0.000000
274.400,0.000000,0.000000,0.000000
274.600,0.000000,0.000000,0.000000
274.800,0.000000,0.000000,0.000000
275.000,0.000000,0.000000,0.000000
275.200,0.000000,0.000000,0.000000
275.400,0.000000,0.000000,0.000000
275.600,0.000000,0.000000,0.000000
275.800,0.000000,0.000000,0.000000
276.000,0.000000,0.000000,0.000000
276.200,0.000000,0.000000,0.000000
276.400,0.000000,0.000000,0.000000
276.600,0.000000,0.000000,0.000000
276.800,0.000000,0.000000,0.000000
277.000,0.000000,0.000000,0.000000
277.200,0.000000,0.000000,0.000000
277.400,0.000000,0.000000,0.000000
277.600,0.000000,0.000000,0.000000
277.800,0.000000,0.000000,0.000000
278.000,0.000000,0.000000,0.000000
278.200,0.000000,0.000000,0.000000
278.400,0.000000,0.000000,0.000000
278.600,0.000000,0.000000,0.000000
278.800,0.000000,0.000000,0.000000
279.000,0.000000,0.000000,0.000000
279.200,0.000000,0.000000,0.000000
279.400,0.000000,0.000000,0.000000
279.600,0.000000,0.000000,0.000000
279.800,0.000000,0.000000,0.000000
280.000,0.000000,0.000000,0.000000
280.200,0.000000,0.000000,0.000000
280.400,0.000000,0.000008,0.000000
280.600,0.000000,0.000018,0.000000
280.800,0.000000,0.000023,0.000000
281.000,0.000000,0.000039,0.000000
281.200,0.000000,0.000000,0.000000
281.400,0.000008,0.000008,0.000008
281.600,0.000083,0.000126,0.000039
281.800,0.000088,0.000090,0.000086
282.000,0.000116,0.000116,0.000116
282.200,0.000173,0.000191,0.000155
282.400,0.000255,0.000224,0.000193
282.600,0.000286,0.000255,0.000224
282.800,0.000317,0.000270,0.000224
283.000,0.000317,0.000278,0.000240
283.200,0.000317,0.000286,0.000255
283.400,0.000255,0.000255,0.000255
283.600,0.000255,0.000255,0.000255
283.800,0.000289,0.000272,0.000255
284.000,0.000309,0.000348,0.000270
284.200,0.000291,0.000296,0.000286
284.400,0.000355,0.000394,0.000317
284.600,0.000430,0.000476,0.000383
284.800,0.000541,0.000595,0.000487
285.000,0.000717,0.000784,0.000649
285.200,0.000974,0.001059,0.000889
285.400,0.001383,0.001522,0.001244
285.600,0.001733,0.002094,0.001747
285.800,0.002125,0.002898,0.002465
286.000,0.002975,0.004005,0.003479
286.200,0.004023,0.005251,0.004617
286.400,0.005464,0.005842,0.006221
286.600,0.007192,0.007586,0.007980
286.800,0.009049,0.009451,0.009853
287.000,0.011712,0.011306,0.012117
287.200,0.014740,0.013031,0.013947
287.400,0.016530,0.014737,0.015665
287.600,0.018073,0.015841,0.016911
287.800,0.019019,0.016453,0.017643
288.000,0.019266,0.016607,0.017844
288.200,0.018705,0.016274,0.017396
288.400,0.017457,0.015495,0.016484
288.600,0.015822,0.014148,0.015000
288.800,0.013067,0.012741,0.013394
289.000,0.011298,0.011298,0.011298
289.200,0.008556,0.008991,0.009427
289.400,0.006808,0.008447,0.007658
289.600,0.005124,0.006716,0.005912
289.800,0.003875,0.005377,0.004540
290.000,0.002867,0.004181,0.003346
290.200,0.002085,0.003233,0.002437
290.400,0.001569,0.002512,0.001801
290.600,0.001569,0.001878,0.001260
290.800,0.001070,0.001468,0.000947
291.000,0.000858,0.001136,0.000719
291.200,0.000767,0.000910,0.000581
291.400,0.000684,0.000765,0.000502
291.600,0.000572,0.000672,0.000471
291.800,0.000703,0.000602,0.000471
292.000,0.000688,0.000595,0.000471
292.200,0.000688,0.000580,0.000471
292.400,0.000688,0.000580,0.000487
292.600,0.000688,0.000564,0.000502
292.800,0.000677,0.000581,0.000502
293.000,0.000657,0.000572,0.000487
293.200,0.000595,0.000533,0.000471
